id,title,text,E,P,B,R,score
F5,Fehlkalibrierung: xlstm/GF/saocp_cqr,xlstm/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.936 (Überdeckung um 13.6pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GF/saocp_cqr,lstm/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.939 (Überdeckung um 13.9pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GI/saocp_cqr,lstm/GI/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.961 (Überdeckung um 16.1pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/G/saocp_cqr,xlstm/G/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.943 (Überdeckung um 14.3pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm_const/GF/saocp_cqr,xlstm_const/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.933 (Überdeckung um 13.3pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/GI/cqr_static,xlstm/GI/cqr_static: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.908 (Überdeckung um 10.8pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/G/native,lstm/G/native: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.959 (Überdeckung um 15.9pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/GI/saocp_cqr,xlstm/GI/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.943 (Überdeckung um 14.3pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GF/saocp_cqr,lstm/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.965 (Überdeckung um 16.5pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/GI/saocp_cqr,xlstm/GI/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.928 (Überdeckung um 12.8pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GI/native,lstm/GI/native: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.950 (Überdeckung um 15.0pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: rw/L/saocp_cqr,rw/L/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.931 (Überdeckung um 13.1pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GF/native,lstm/GF/native: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.957 (Überdeckung um 15.7pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/G/saocp_cqr,lstm/G/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.966 (Überdeckung um 16.6pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/G/saocp_cqr,xlstm/G/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.939 (Überdeckung um 13.9pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: arma_monthly/L/saocp_cqr,arma_monthly/L/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.926 (Überdeckung um 12.6pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: xlstm/GF/saocp_cqr,xlstm/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.944 (Überdeckung um 14.4pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm_const/GF/saocp_cqr,lstm_const/GF/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.931 (Überdeckung um 13.1pp).,1.0,0.9,1.0,1.0,0.97
F5,Fehlkalibrierung: lstm/GI/saocp_cqr,lstm/GI/saocp_cqr: Coverage-Validität in 100% der Länder FDR-verworfen; mittlere Coverage 0.935 (Überdeckung um 13.5pp).,1.0,0.9,1.0,1.0,0.97
